date,open,high,low,close,volume_eth,volume_usd
2020-05-21,565.820007,571.25,563,570,535100,535100
2020-05-22,571.690002,577.330017,567.940002,577.299988,279200,279200
2020-05-26,585,585.890015,579.369995,583.130005,459300,459300
2020-05-27,585,585.5,572.549988,582.859985,451700,451700
2020-05-28,590,595.919983,585.869995,590.01001,549300,549300
2020-05-29,588.27002,596.299988,585.219971,593.849976,438500,438500
2020-06-01,593.419983,594.929993,580.039978,582.460022,346900,346900
2020-06-02,580.349976,599.179993,579.190002,597.109985,527400,527400
2020-06-03,599.309998,603.359985,593.090027,594.159973,515300,515300
2020-06-04,590.570007,593,571.830017,575.159973,635900,635900
2020-06-05,583.039978,590.950012,566.340027,585.289978,884800,884800
2020-06-08,583.429993,584.27002,570.5,575,697500,697500
2020-06-09,570.710022,585.880005,570.25,581.77002,507900,507900
2020-06-10,583.039978,585.780029,577.359985,580.960022,374400,374400
2020-06-11,574.169983,576.179993,543.940002,546.320007,961100,961100
2020-06-12,560.200012,561.289978,539.169983,547.619995,735200,735200
2020-06-15,536,572,535.969971,570.01001,876100,876100
2020-06-16,586.440002,588.340027,566.080017,576.359985,434600,434600
2020-06-17,580.27002,588,576.559998,582,409600,409600
2020-06-18,578,585.039978,577.549988,581.700012,278300,278300
2020-06-19,591.669983,591.780029,578.840027,584.669983,704700,704700
2020-06-22,594.450012,594.450012,574.119995,582.469971,444400,444400
2020-06-23,589.679993,589.679993,574.140015,576.330017,493200,493200
2020-06-24,574.969971,575.190002,566.099976,566.650024,416100,416100
2020-06-25,567.630005,574.299988,557.530029,573.210022,328500,328500
2020-06-26,572.809998,573.880005,555.859985,557.530029,549500,549500
2020-06-29,561.090027,569.799988,553.01001,566,343600,343600
2020-06-30,567.599976,579.880005,563.719971,577.849976,481100,481100
2020-07-01,577.77002,581.940002,571.48999,577.559998,635600,635600
2020-07-02,582.849976,586.570007,580.190002,582.969971,450500,450500
2020-07-06,590,592.72998,583.76001,592.159973,548200,548200
2020-07-07,585.48999,591.580017,584.099976,588.73999,443300,443300
2020-07-08,590,595.640015,575.400024,586.119995,473000,473000
2020-07-09,587.099976,587.73999,572,579.690002,349800,349800
2020-07-10,582.26001,586.619995,572.630005,583.799988,273600,273600
2020-07-13,588.73999,590.640015,575.599976,576.039978,380700,380700
2020-07-14,575.25,587.130005,575.25,586.700012,383500,383500
2020-07-15,590,598.039978,586.919983,597.440002,403400,403400
2020-07-16,594.830017,603.51001,593.309998,598.77002,349900,349900
2020-07-17,600,613.130005,598.950012,610.090027,607400,607400
2020-07-20,608.710022,612.72998,606.52002,608.080017,323600,323600
2020-07-21,615,615.02002,608,613.400024,503700,503700
2020-07-22,611.299988,625.919983,611.299988,625.900024,382300,382300
2020-07-23,622.849976,628.440002,612.869995,618.5,380200,380200
2020-07-24,617.52002,621.840027,613.909973,620.02002,448200,448200
2020-07-27,626.219971,631.880005,623.530029,625.52002,823900,823900
2020-07-28,650,659.869995,621.570007,633.549988,1042500,1042500
2020-07-29,635.030029,650.97998,634.52002,647.630005,671800,671800
2020-07-30,641.330017,650.190002,639.27002,647.630005,457700,457700
2020-07-31,646.080017,649.5,640.25,647.919983,592800,592800
2020-08-03,648.690002,652.650024,640.890015,641.140015,470500,470500
2020-08-04,640.880005,657.849976,640.880005,650.909973,616200,616200
2020-08-05,653.099976,658.900024,650.72998,650.72998,470200,470200
2020-08-06,650.280029,658.900024,649.369995,654.570007,429700,429700
2020-08-07,654.059998,657.559998,652.599976,656.719971,375900,375900
2020-08-10,656,659.190002,649.25,651.25,349700,349700
2020-08-11,655,661.22998,650.059998,652.400024,393100,393100
2020-08-12,656.219971,675.73999,654.52002,671.890015,574100,574100
2020-08-13,667.659973,674.549988,665.309998,669.22998,278200,278200
2020-08-14,670.179993,673.969971,663.309998,666.559998,226300,226300
2020-08-17,670.73999,674.169983,665.669983,671,344300,344300
2020-08-18,675,676.030029,668.669983,669.97998,295800,295800
2020-08-19,672.390015,672.809998,663.849976,665.090027,316600,316600
2020-08-20,663.330017,670.400024,663.330017,667.549988,319300,319300
2020-08-21,667.869995,677.940002,664.5,675.820007,356200,356200
2020-08-24,680,681.599976,668.169983,671.409973,262100,262100
2020-08-25,674.700012,678.609985,666.359985,670.289978,270000,270000
2020-08-26,669.929993,678.900024,667.119995,676.710022,305700,305700
2020-08-27,680.25,680.25,671.059998,671.799988,266800,266800
2020-08-28,673.969971,676.380005,669.679993,675.909973,338400,338400
2020-08-31,676.359985,676.359985,669.659973,671.049988,376600,376600
2020-09-01,669.5,686.039978,667.940002,686.039978,504200,504200
2020-09-02,684.549988,699.809998,683.5,699.159973,464500,464500
2020-09-03,697,697,671.23999,678.840027,525600,525600
2020-09-04,680.76001,684.530029,661.080017,679.619995,619500,619500
2020-09-08,670.830017,673.299988,661.700012,669.299988,650600,650600
2020-09-09,686.799988,697.51001,682.130005,694.429993,528400,528400
2020-09-10,696.909973,709.340027,693,702.659973,835800,835800
2020-09-11,705.309998,712.969971,700.390015,708.73999,473600,473600
2020-09-14,714,721.01001,711,717.599976,445400,445400
2020-09-15,720.76001,725.909973,713.849976,716.25,354000,354000
2020-09-16,718.72998,721.690002,713.02002,715.119995,404100,404100
2020-09-17,710,713.599976,702.77002,712.549988,471100,471100
2020-09-18,708.219971,713.460022,692.030029,695.48999,765300,765300
2020-09-21,687.890015,689.820007,674.179993,682.830017,347900,347900
2020-09-22,684.280029,698.659973,683.409973,696.320007,444300,444300
2020-09-23,691.97998,693.419983,675.830017,677.320007,379200,379200
2020-09-24,681.330017,690.950012,679.289978,685.900024,300800,300800
2020-09-25,684.809998,698.22998,681.77002,697.450012,285500,285500
2020-09-28,705.719971,712.169983,701.890015,707.059998,428200,428200
2020-09-29,710.469971,715.340027,705.630005,705.669983,290400,290400
2020-09-30,710,715,691.909973,696.73999,804300,804300
2020-10-01,704.97998,709.530029,688.669983,690.799988,519000,519000
2020-10-02,686.710022,696.900024,680.77002,688.97998,411500,411500
2020-10-05,693.52002,701.450012,686.76001,689.599976,646700,646700
2020-10-06,691.880005,696.570007,680.969971,682.380005,520800,520800
2020-10-07,687.73999,693.659973,685.309998,691.799988,450300,450300
2020-10-08,694.619995,697.960022,685.469971,688.280029,492400,492400
2020-10-09,691.349976,698.940002,690,698.400024,452200,452200
2020-10-12,702,708.73999,699.190002,702.380005,314400,314400
2020-10-13,702.609985,706.349976,695.150024,697.179993,434600,434600
2020-10-14,698.789978,698.789978,690.580017,693.98999,432500,432500
2020-10-15,688.340027,692.799988,682.98999,688,425100,425100
2020-10-16,691.640015,701.76001,690.659973,695.320007,380200,380200
2020-10-19,696.359985,699.080017,679.52002,681.830017,346200,346200
2020-10-20,687.5,688.669983,673.599976,674.929993,526300,526300
2020-10-21,675,684.5,673.119995,674.070007,511000,511000
2020-10-22,676.23999,680.630005,668.969971,678,286600,286600
2020-10-23,681.140015,685.049988,673.719971,683.309998,369600,369600
2020-10-26,677.109985,679.840027,664.219971,670.380005,487100,487100
2020-10-27,677.159973,682.309998,667.76001,673.469971,597200,597200
2020-10-28,674.219971,686,665.929993,678.659973,805600,805600
2020-10-29,677.919983,695.030029,674.570007,692.090027,617300,617300
2020-10-30,686.25,695.01001,681.299988,687.97998,688300,688300
2020-11-02,696.859985,715.440002,695,709.299988,617600,617600
2020-11-03,709.919983,718.75,705.26001,710.090027,465600,465600
2020-11-04,710.630005,729.320007,710.630005,723.98999,470200,470200
