Date,value
2019-01-02,93.71103712224033
2019-01-03,94.8640706106938
2019-01-04,96.22823666608048
2019-01-07,97.68985691875028
2019-01-08,98.4693946825872
2019-01-09,99.39506345965327
2019-01-10,100.35321480059048
2019-01-11,101.32764863615088
2019-01-14,100.93787954635712
2019-01-15,102.6918056036375
2019-01-16,104.62436570937564
2019-01-17,104.20215097611035
2019-01-18,105.8748616327947
2019-01-22,106.1834318473787
2019-01-23,107.04415046468796
2019-01-24,92.88278857674587
2019-01-25,96.81289184289517
2019-01-28,95.98463554339293
2019-01-29,96.22824280768535
2019-01-30,94.7828659966778
2019-01-31,95.43247822808559
2019-02-01,97.0077485092886
2019-02-04,99.054012072586
2019-02-05,101.47380850813423
2019-02-06,103.04910306213537
2019-02-07,100.77551036978161
2019-02-08,100.38571077777078
2019-02-11,102.33455866718853
2019-02-12,102.52941596466422
2019-02-13,102.35075984848373
2019-02-14,101.06779556813856
2019-02-15,104.08847554360625
2019-02-19,102.8379774072059
2019-02-20,103.21150597336296
2019-02-21,101.44131046857612
2019-02-22,101.89604973891667
2019-02-25,102.20460999973722
2019-02-26,101.6849128806972
2019-02-27,101.00282597697566
2019-02-28,101.45755707984992
2019-03-01,103.16278149882837
2019-03-04,103.82861799429512
2019-03-05,100.84046056128591
2019-03-06,100.15835733475384
2019-03-07,98.45225395085069
2019-03-08,96.87162653435601
2019-03-11,93.90592371396787
2019-03-12,94.23179225915288
2019-03-13,93.69407656822216
2019-03-14,94.26439622842312
2019-03-15,96.38275860511058
2019-03-18,94.80215842321775
2019-03-19,96.23609620671746
2019-03-20,95.3724679488505
2019-03-21,94.00369009539324
2019-03-22,95.55170435382854
2019-03-25,93.66148558979575
2019-03-26,92.79783059993284
2019-03-27,93.25409662426546
2019-03-28,92.43933229399752
2019-03-29,93.4822396036289
2019-04-01,93.36817837758142
2019-04-02,92.87931513451659
2019-04-03,94.16662669815813
2019-04-04,97.71896051156756
2019-04-05,93.9059070607997
2019-04-08,94.47624448480207
2019-04-09,94.63919143229987
2019-04-10,95.6820984034612
2019-04-11,96.39904745447973
2019-04-12,96.62721839443972
2019-04-15,97.08345676660545
2019-04-16,97.36046444032237
2019-04-17,96.67606526876367
2019-04-18,93.93850419507987
2019-04-22,92.79782705169316
2019-04-23,93.6614708633432
2019-04-24,95.77984795097782
2019-04-25,92.58599722869386
2019-04-26,92.26009295681285
2019-04-29,94.83472796904303
2019-04-30,94.68806866007685
2019-05-01,94.99767961380755
2019-05-02,95.22581555975452
2019-05-03,92.4882356271674
2019-05-06,89.57138165349204
2019-05-07,89.4247353562231
2019-05-08,89.11512344705338
2019-05-09,87.64855640684937
2019-05-10,87.7952237600716
2019-05-13,86.19828603567947
2019-05-14,86.26349472816764
2019-05-15,86.3938446149331
2019-05-16,87.48561989276394
2019-05-17,87.3063724151819
2019-05-20,85.44871607260606
2019-05-21,86.4916238528971
2019-05-22,85.7420362435667
2019-05-23,85.62796876359215
2019-05-24,86.3123465064611
2019-05-28,85.18801796402553
2019-05-29,84.81321234650443
2019-05-30,84.40584229726798
2019-05-31,83.11850075800004
2019-06-03,83.57477954582023
2019-06-04,84.58507680271899
2019-06-05,85.39982904126975
2019-06-06,88.08320475102241
2019-06-07,87.11823575601827
2019-06-10,88.23040190535173
2019-06-11,88.13227286496672
2019-06-12,86.77476754019284
2019-06-13,88.96640510213982
2019-06-14,88.03414288393492
2019-06-17,89.32623639564031
2019-06-18,90.38933296764964
2019-06-19,90.7655091232375
2019-06-20,94.08565734730621
2019-06-21,93.36600454402588
2019-06-24,93.97117355928458
2019-06-25,93.3333186586379
2019-06-26,91.64869174812603
2019-06-27,90.12764503074808
2019-06-28,90.48746715522077
2019-07-01,93.05527507067421
2019-07-02,91.30525486116281
2019-07-03,93.66041415218396
2019-07-05,92.58094796669405
2019-07-08,93.51323727387941
2019-07-09,90.47112830531157
2019-07-10,92.67909463115623
2019-07-11,93.72583747143256
2019-07-12,93.8730325102984
2019-07-15,95.83568611691592
2019-07-16,96.3917832205384
2019-07-17,95.60672858687064
2019-07-18,94.78894185215094
2019-07-19,97.17686026436058
2019-07-22,96.08101688166687
2019-07-23,96.89880014973974
2019-07-24,95.57400684296317
2019-07-25,88.96640435050773
2019-07-26,86.21867660292827
2019-07-29,86.6766527453083
2019-07-30,85.48270066142743
2019-07-31,85.84250230655186
2019-08-01,85.17195714744221
2019-08-02,83.8471473612675
2019-08-05,81.7045750197972
2019-08-06,81.42653514290814
2019-08-07,79.03865282174968
2019-08-08,80.95223662859325
2019-08-09,80.9849238579653
2019-08-12,80.052672102956
2019-08-13,79.46387706900487
2019-08-14,79.90549177177081
2019-08-15,79.82369326097881
2019-08-16,81.45925738090367
2019-08-19,83.1275081073617
2019-08-20,81.39384292974412
2019-08-21,81.83542925529022
2019-08-22,82.04805133723033
2019-08-23,82.12983668718354
2019-08-26,81.1321422509854
2019-08-27,82.1461689866133
2019-08-28,80.95223122346269
2019-08-29,82.27702847892823
2019-08-30,83.32376034221357
2019-09-03,81.44289672519855
2019-09-04,83.68358958043419
2019-09-05,84.1630251882388
2019-09-06,85.57490238838426
2019-09-09,85.95248776393271
2019-09-10,85.6898197407869
2019-09-11,88.08672646040802
2019-09-12,89.56426567021921
2019-09-13,88.62848176138624
2019-09-16,87.46287021105553
2019-09-17,88.89116125627075
2019-09-18,87.57778944826322
2019-09-19,89.0717469668827
2019-09-20,88.3822356214057
2019-09-23,89.26876404821465
2019-09-24,88.8583212094193
2019-09-25,87.06884401051005
2019-09-26,88.23445396229286
