Date,value
2019-01-02,93.11687466509221
2019-01-03,92.30344698947478
2019-01-04,93.22817986684892
2019-01-07,92.7315589745213
2019-01-08,92.87713224820625
2019-01-09,93.30524008207428
2019-01-10,92.82575735048735
2019-01-11,93.60492896029366
2019-01-14,93.32236293185692
2019-01-15,92.90280403481722
2019-01-16,94.27278524872231
2019-01-17,93.57066623905853
2019-01-18,94.71801695745926
2019-01-22,94.8379065467426
2019-01-23,95.05195792208409
2019-01-24,93.81897209836507
2019-01-25,92.73156109254276
2019-01-28,91.5499660238701
2019-01-29,91.96095411320982
2019-01-30,92.28632568897268
2019-01-31,90.6509293950798
2019-02-01,93.0055737231502
2019-02-04,91.89246149004772
2019-02-05,92.60313671093661
2019-02-06,93.02266603152607
2019-02-07,92.23495431672693
2019-02-08,93.65628562824679
2019-02-11,95.29170018074132
2019-02-12,95.24888562222547
2019-02-13,96.23355915647898
2019-02-14,95.16326193076767
2019-02-15,95.39445128004812
2019-02-19,95.55713196185837
2019-02-20,96.03662288764934
2019-02-21,96.91131387263918
2019-02-22,96.75617519283848
2019-02-25,97.28191680916387
2019-02-26,96.80788163639397
2019-02-27,96.44590617621404
2019-02-28,96.83374814163865
2019-03-01,97.97139152263348
2019-03-04,98.9366605337047
2019-03-05,97.55768932432328
2019-03-06,98.69534011559985
2019-03-07,98.41954835965382
2019-03-08,98.71258472758883
2019-03-11,97.799017318037
2019-03-12,98.33336805474391
2019-03-13,97.35085137128667
2019-03-14,97.73869337490908
2019-03-15,97.53185014936179
2019-03-18,97.64388075707281
2019-03-19,97.35084722403433
2019-03-20,96.59241783440588
2019-03-21,96.96302045112213
2019-03-22,98.38506253016601
2019-03-25,98.32474970815717
2019-03-26,99.39344957107323
2019-03-27,99.81575959979833
2019-03-28,100.02259623299803
2019-03-29,100.98787042440136
2019-04-01,101.11715533758367
2019-04-02,100.42767160629958
2019-04-03,101.09991216356062
2019-04-04,101.33261289942544
2019-04-05,101.50499269899618
2019-04-08,102.03932725467509
2019-04-09,102.17722580570526
2019-04-10,102.26342445517992
2019-04-11,102.43578551432967
2019-04-12,102.01348110112032
2019-04-15,102.39269659886318
2019-04-16,102.81500590932005
2019-04-17,103.11664033339169
2019-04-18,103.09080104622547
2019-04-22,102.86672997091452
2019-04-23,103.07356781781867
2019-04-24,102.8408650924958
2019-04-25,105.72807737075405
2019-04-26,107.77927317085012
2019-04-29,109.52884284196325
2019-04-30,109.50299719728825
2019-05-01,109.93393129646462
2019-05-02,108.12402911670826
2019-05-03,107.87408678668997
2019-05-06,106.77953636202632
2019-05-07,108.91692742239877
2019-05-08,109.19271903056975
2019-05-09,109.78740139426354
2019-05-10,110.34760899525476
2019-05-13,110.95952623488107
2019-05-14,111.54557684165434
2019-05-15,111.87309341850404
2019-05-16,112.25231505167326
2019-05-17,112.5108665890506
2019-05-20,113.295153809371
2019-05-21,114.13977425625323
2019-05-22,114.67412659253043
2019-05-23,114.95734852249865
2019-05-24,114.98336207525618
2019-05-28,115.36467011050556
2019-05-29,113.09413728266058
2019-05-30,114.48071724202455
2019-05-31,114.83602616954659
2019-06-03,116.53456374981332
2019-06-04,116.99390115036938
2019-06-05,118.05983209759513
2019-06-06,120.3477099342208
2019-06-07,121.4916007552838
2019-06-10,121.80359189461822
2019-06-11,120.70300426088838
2019-06-12,121.13633007285466
2019-06-13,122.27158341557514
2019-06-14,121.75161542946681
2019-06-17,122.2282417872029
2019-06-18,121.95957418306052
2019-06-19,121.8816079912784
2019-06-20,121.00631765280446
2019-06-21,121.49162674425877
2019-06-24,121.50895935122371
2019-06-25,121.50029309192561
2019-06-26,120.41702350140956
2019-06-27,118.19847363783198
2019-06-28,119.04776775644665
2019-07-01,118.92644280770735
2019-07-02,118.73579273786675
2019-07-03,120.3910408484621
2019-07-05,121.6995977665361
2019-07-08,121.84692815485043
2019-07-09,122.4535735039216
2019-07-10,122.28893008172348
2019-07-11,122.23691385837022
2019-07-12,121.50030245991128
2019-07-15,121.61296548368153
2019-07-16,122.64421763287929
2019-07-17,126.07601285965592
2019-07-18,128.75384144072552
2019-07-19,129.68980513703877
2019-07-22,128.40720011625336
2019-07-23,129.94979679256255
2019-07-24,129.26515007957894
2019-07-25,125.26138623899318
2019-07-26,133.01759835028122
2019-07-29,134.69882395802458
2019-07-30,133.8582050184969
2019-07-31,134.00553838969222
2019-08-01,134.27418835664804
2019-08-02,134.0315307083429
2019-08-05,133.57220545051493
2019-08-06,131.4316784224445
2019-08-07,132.73160551920878
2019-08-08,134.36948889997979
2019-08-09,136.3800593515191
2019-08-12,137.01268056156505
2019-08-13,137.04735212397983
2019-08-14,136.57068908055763
2019-08-15,134.8981373651682
2019-08-16,137.26400837982217
2019-08-19,137.07335749371418
2019-08-20,139.04056372057155
2019-08-21,138.17393249447238
2019-08-22,139.7188330515262
2019-08-23,140.58097991633554
2019-08-26,139.38791508843158
2019-08-27,140.36324844081628
2019-08-28,141.22541559508096
2019-08-29,142.18334370529678
2019-08-30,140.40678607028198
2019-09-03,140.21521273609898
2019-09-04,141.60859241404845
2019-09-05,143.2370696691031
2019-09-06,141.73050505291144
2019-09-09,140.24134463698275
2019-09-10,137.29788133164394
2019-09-11,135.04232943988626
2019-09-12,132.63878288635243
2019-09-13,133.14389521807956
2019-09-16,130.69677844119937
2019-09-17,132.0204942874241
2019-09-18,136.2267051527991
2019-09-19,135.55614761633228
2019-09-20,136.18318475989815
2019-09-23,136.60117631291462
2019-09-24,136.5315022804522
2019-09-25,137.44590766904014
2019-09-26,136.65341624799362
2019-09-27,136.83631270123985
2019-09-30,136.1396229698869
2019-10-01,137.0017762468264
2019-10-02,136.95822188563127
2019-10-03,136.1221951725533
2019-10-04,138.38644692988257
2019-10-07,138.8828134671847
2019-10-08,139.58820229618786
2019-10-09,138.4648194094168
2019-10-10,137.92487161256793
2019-10-11,138.9089322299393
2019-10-14,138.11646195339347
2019-10-15,137.83780699002756
2019-10-16,134.6069158895393
2019-10-17,134.10183252443386
2019-10-18,135.02492632152615
2019-10-21,135.32103911341719
2019-10-22,135.68678449820192
2019-10-23,132.47333262224208
2019-10-24,128.9986257833581
2019-10-25,129.6691711643591
2019-10-28,127.69234499833811
2019-10-29,125.24523147007055
2019-10-30,127.70973326711876
2019-10-31,129.67789388345025
2019-11-01,130.44423983609872
2019-11-04,126.77795361863272
2019-11-05,124.30471002883186
2019-11-06,125.2975011762136
2019-11-07,124.80981393398476
