date,open,high,low,close,volume_eth,volume_usd
2020-09-04,148.880005,149.570007,146.259995,148.800003,779500,779500
2020-09-08,148.570007,149.100006,145.179993,145.520004,924300,924300
2020-09-09,146.779999,149.059998,146.630005,147.720001,624200,624200
2020-09-10,147.389999,147.869995,144.929993,145.149994,694900,694900
2020-09-11,145.449997,146.899994,145.100006,145.5,484400,484400
2020-09-14,146.149994,146.800003,144.479996,144.5,585600,585600
2020-09-15,144.679993,146.369995,143.75,144.339996,882200,882200
2020-09-16,145.25,146.080002,143.160004,143.190002,629200,629200
2020-09-17,142.550003,142.550003,139.559998,140.5,857700,857700
2020-09-18,140.869995,141.520004,138.119995,138.919998,1567900,1567900
2020-09-21,138,138.669998,135.009995,137,1291200,1291200
2020-09-22,136.979996,138.309998,136.539993,137.429993,623000,623000
2020-09-23,138.059998,138.490005,134,134.339996,1083900,1083900
2020-09-24,134.529999,137.910004,134.520004,137.660004,963900,963900
2020-09-25,137.160004,139.559998,136.5,139.520004,684900,684900
2020-09-28,140.309998,141.919998,139.649994,140.410004,589900,589900
2020-09-29,142.300003,142.779999,140.300003,141.190002,735300,735300
2020-09-30,141.429993,144.399994,141.220001,143.339996,798500,798500
2020-10-01,143.490005,144.520004,141.710007,143.929993,759700,759700
2020-10-02,143.5,144.050003,142.089996,142.919998,535700,535700
2020-10-05,143.179993,144.139999,142.619995,143.770004,432700,432700
2020-10-06,143.419998,143.759995,141.089996,141.559998,680300,680300
2020-10-07,142.020004,144.080002,141.75,143.410004,615300,615300
2020-10-08,143.160004,144.160004,142.679993,143.509995,474300,474300
2020-10-09,144.25,146.410004,143.850006,145.630005,612700,612700
2020-10-12,147.020004,148.970001,146.529999,148.080002,601600,601600
2020-10-13,147.419998,149.360001,147.130005,148.850006,574300,574300
2020-10-14,148.509995,150.229996,148.259995,149.470001,577000,577000
2020-10-15,148.570007,150.839996,148.089996,150.419998,579600,579600
2020-10-16,150.929993,151.649994,149.809998,149.919998,912200,912200
2020-10-19,150.600006,150.75,147.259995,147.5,614200,614200
2020-10-20,148.639999,149.210007,146.729996,146.880005,434700,434700
2020-10-21,146.389999,147.320007,145.080002,145.580002,688600,688600
2020-10-22,145.919998,146.080002,144.460007,145.440002,442500,442500
2020-10-23,146.399994,146.669998,145.820007,146.339996,383700,383700
2020-10-26,145.889999,145.889999,143.179993,144.199997,610600,610600
2020-10-27,144.619995,144.869995,142.360001,142.5,825100,825100
2020-10-28,140.619995,141.839996,138.119995,138.199997,858300,858300
2020-10-29,137.910004,139.460007,136.479996,137.830002,710800,710800
2020-10-30,137.130005,138.210007,135.830002,137.460007,783900,783900
2020-11-02,139.660004,142,139.179993,140.779999,1266100,1266100
2020-11-03,141.820007,144.559998,141.759995,142.720001,569800,569800
2020-11-04,143.800003,146.589996,143.119995,143.940002,985000,985000
2020-11-05,145.580002,146.279999,143.850006,144.600006,923600,923600
2020-11-06,148.899994,150.729996,146.809998,149.399994,1354900,1354900
2020-11-09,152.570007,154.490005,149.610001,149.720001,1168400,1168400
2020-11-10,150.179993,153.559998,149.460007,152.259995,987700,987700
2020-11-11,152.929993,153.830002,151.550003,153.660004,697200,697200
2020-11-12,153.990005,154.179993,151.899994,153.559998,584500,584500
2020-11-13,154.070007,154.320007,152.240005,154,580400,580400
2020-11-16,154.949997,155.490005,153.789993,155.119995,783900,783900
2020-11-17,154.520004,154.970001,152.600006,152.929993,701000,701000
2020-11-18,153.509995,154.389999,150.559998,150.639999,678200,678200
2020-11-19,149.080002,149.910004,147.639999,149.399994,659400,659400
2020-11-20,149.089996,149.360001,147.029999,147.779999,600600,600600
2020-11-23,147.479996,148.350006,146.309998,146.830002,657000,657000
2020-11-24,147.600006,148.869995,147.119995,148.210007,2261500,2261500
2020-11-25,148.419998,149.330002,147.809998,148.149994,1565300,1565300
2020-11-27,148.440002,148.449997,146.399994,148.050003,1252900,1252900
2020-11-30,147.399994,148.029999,146.229996,147.889999,1507400,1507400
2020-12-01,149,150.130005,148.089996,150.039993,1325500,1325500
2020-12-02,150.039993,151.789993,148.449997,149.25,1094700,1094700
2020-12-03,149,150.190002,148.880005,149.830002,719400,719400
2020-12-04,150,151.100006,149.880005,150.869995,1002500,1002500
2020-12-07,151.800003,152.710007,148.679993,149.720001,879900,879900
2020-12-08,149.100006,151.699997,148.839996,150.630005,814300,814300
2020-12-09,150.449997,152.699997,149.100006,152.139999,1179100,1179100
2020-12-10,152.330002,152.809998,149.679993,149.699997,899800,899800
2020-12-11,148.990005,150.199997,148.979996,149.110001,613700,613700
2020-12-14,149.570007,151.580002,149.039993,149.139999,579600,579600
2020-12-15,149.509995,150.820007,149.220001,150.229996,689100,689100
2020-12-16,150.160004,151.669998,149.470001,150.279999,743500,743500
2020-12-17,151.100006,152.789993,150.350006,151.610001,797100,797100
2020-12-18,151.889999,152.350006,150.130005,150.880005,1717300,1717300
2020-12-21,149.009995,150.440002,146.850006,149.660004,846100,846100
2020-12-22,149.410004,149.660004,148.199997,148.619995,560000,560000
2020-12-23,149.479996,150.289993,149.169998,149.449997,580100,580100
2020-12-24,149.300003,150.179993,148.839996,149.949997,188200,188200
2020-12-28,151.160004,151.889999,150.429993,151.800003,432900,432900
2020-12-29,152.490005,152.970001,151.229996,151.440002,518700,518700
2020-12-30,151.509995,152,150.369995,150.529999,387600,387600
2020-12-31,150.389999,152.539993,149.509995,152.330002,479300,479300
2021-01-04,153.009995,153.419998,149.589996,150.899994,861600,861600
2021-01-05,150.979996,151.539993,149.509995,150.729996,678500,678500
2021-01-06,151.809998,153.929993,150.910004,151.259995,835800,835800
2021-01-07,151.240005,152.320007,150.240005,151.169998,600000,600000
2021-01-08,151.460007,152.339996,150.850006,152.029999,552600,552600
2021-01-11,151.850006,152.429993,149.830002,150.110001,613700,613700
2021-01-12,149.630005,150.75,148.279999,149.380005,621700,621700
2021-01-13,149.350006,151.779999,148.949997,149.919998,709700,709700
2021-01-14,150.309998,150.630005,147.339996,147.419998,836700,836700
2021-01-15,147.089996,149.490005,146.880005,148.460007,1193700,1193700
2021-01-19,149.050003,150.350006,148.179993,148.75,790300,790300
2021-01-20,148.800003,149.75,147.600006,149.630005,872800,872800
2021-01-21,150,150,148.25,148.979996,826500,826500
2021-01-22,148.850006,149.580002,147.729996,148.199997,643200,643200
2021-01-25,147.850006,150.070007,146.960007,147.529999,1114400,1114400
2021-01-26,147.570007,149.899994,145.639999,149.520004,1167100,1167100
2021-01-27,148.990005,149.509995,145.610001,146.190002,1251800,1251800
2021-01-28,146.410004,149.259995,146.100006,148.210007,1220800,1220800
2021-01-29,147.350006,149.710007,145.320007,145.440002,1366600,1366600
2021-02-01,145.649994,146.369995,144.619995,145.110001,848100,848100
2021-02-02,145.75,148.479996,145.190002,147.119995,1001900,1001900
2021-02-03,147.100006,147.779999,145.570007,146.580002,889800,889800
2021-02-04,147.860001,150,145.309998,147.220001,1273000,1273000
2021-02-05,147.899994,149.399994,146.589996,146.600006,825500,825500
2021-02-08,151.25,151.369995,147.330002,149.330002,2026200,2026200
2021-02-09,149.210007,151.259995,149.149994,149.619995,1090000,1090000
2021-02-10,150.320007,150.649994,149.220001,150,883400,883400
2021-02-11,149.580002,150.779999,149.449997,150.419998,871400,871400
2021-02-12,149.850006,151.759995,149.690002,151.380005,785700,785700
2021-02-16,151.220001,152.320007,150.149994,151.380005,1197600,1197600
2021-02-17,150.929993,152.460007,150.850006,151.289993,864800,864800
2021-02-18,149.809998,153.860001,149.809998,152.990005,1385900,1385900
2021-02-19,153.119995,153.570007,148.75,148.850006,1166000,1166000
2021-02-22,149.100006,149.100006,146.5,148.25,862100,862100
2021-02-23,149.050003,150.460007,147.100006,147.979996,1477900,1477900
2021-02-24,147.970001,148.5,147.119995,147.570007,774700,774700
2021-02-25,147.440002,149.139999,147.289993,147.570007,1589800,1589800
2021-02-26,148.050003,148.929993,145.559998,145.649994,1053900,1053900
2021-03-01,146.179993,147.910004,144.720001,145.190002,1177200,1177200
2021-03-02,145.100006,146.479996,143.580002,145.350006,969600,969600
2021-03-03,145.270004,145.809998,144.25,144.369995,1101000,1101000
2021-03-04,144.850006,149.100006,144.460007,146.089996,1249100,1249100
2021-03-05,146.690002,150.809998,146.059998,150.380005,1031700,1031700
2021-03-08,151.300003,154.610001,150.199997,151.789993,964343,964343
,,,,,,
,,,,,,
