Date,value
2019-01-02,184.46599640529956
2019-01-03,187.3873587727682
2019-01-04,186.82133890906897
2019-01-07,189.04890882055548
2019-01-08,191.90634785695448
2019-01-09,192.36284410245696
2019-01-10,191.4499036984613
2019-01-11,193.1753222998443
2019-01-14,192.6549511475826
2019-01-15,193.1753316367999
2019-01-16,194.47171045853514
2019-01-17,193.02012262218028
2019-01-18,195.47587986941159
2019-01-22,195.8775867673869
2019-01-23,195.87760141243615
2019-01-24,195.32072502752618
2019-01-25,194.99207063416293
2019-01-28,191.93373844680417
2019-01-29,193.43097271153027
2019-01-30,193.57697630324884
2019-01-31,194.17952920348472
2019-02-01,196.79048895807767
2019-02-04,193.77784607019174
2019-02-05,194.49906785866466
2019-02-06,195.20199971054933
2019-02-07,193.72070708947848
2019-02-08,191.67023932502627
2019-02-11,192.4208363134374
2019-02-12,193.71156383692153
2019-02-13,195.69796110741987
2019-02-14,195.48742178652088
2019-02-15,198.3709048730433
2019-02-19,199.7622930378759
2019-02-20,201.1903280356625
2019-02-21,199.69823769221262
2019-02-22,198.38923464641192
2019-02-25,200.40309077428577
2019-02-26,199.96371344696024
2019-02-27,199.61584070429495
2019-02-28,201.42833644420324
2019-03-01,202.5908703805158
2019-03-04,203.20418695534357
2019-03-05,201.8128062322864
2019-03-06,203.2682778335497
2019-03-07,201.09878401878535
2019-03-08,207.8269275188241
2019-03-11,209.70349250667732
2019-03-12,212.25742920943975
2019-03-13,215.85491779681456
2019-03-14,217.57585125803314
2019-03-15,215.78166563119981
2019-03-18,215.2416230115253
2019-03-19,218.84824518030848
2019-03-20,218.39969630368716
2019-03-21,218.07933144200433
2019-03-22,220.88959346619583
2019-03-25,218.3081640402072
2019-03-26,219.2876554965634
2019-03-27,219.93757854465667
2019-03-28,221.10011092841336
2019-03-29,222.6379638585468
2019-04-01,223.92867445398326
2019-04-02,224.78002513183407
2019-04-03,222.6654560758186
2019-04-04,223.1048438293281
2019-04-05,225.6587892552497
2019-04-08,226.60164180745488
2019-04-09,225.7960841188853
2019-04-10,225.95169405896257
2019-04-11,224.4321309767439
2019-04-12,222.50067718050127
2019-04-15,223.28791080041304
2019-04-16,227.2057762605961
2019-04-17,226.8854169029563
2019-04-18,227.33394770397933
2019-04-22,225.86932179642542
2019-04-23,225.37498537951734
2019-04-24,226.31785702706333
2019-04-25,226.80304415863833
2019-04-26,226.26292105687645
2019-04-29,225.69538150606348
2019-04-30,225.4848745367209
2019-05-01,226.00664221903764
2019-05-02,222.72951489149693
2019-05-03,224.11177241513815
2019-05-06,223.72732451322378
2019-05-07,222.69291674670131
2019-05-08,220.71567381691568
2019-05-09,222.31751104969794
2019-05-10,224.41025233294022
2019-05-13,225.49335369945464
2019-05-14,223.8136196747351
2019-05-15,223.64843176930566
2019-05-16,226.879317032321
2019-05-17,227.1087828144178
2019-05-20,228.27448070643197
2019-05-21,230.07349514834652
2019-05-22,231.81742819540352
2019-05-23,229.63290147161035
2019-05-24,230.07347722641208
2019-05-28,229.5870148389012
2019-05-29,225.50253110438598
2019-05-30,223.68513558924838
2019-05-31,220.77551430635936
2019-06-03,221.5098195416544
2019-06-04,224.46530726546604
2019-06-05,227.31071457646618
2019-06-06,229.05466489157885
2019-06-07,231.95509784365748
2019-06-10,236.76471261031583
2019-06-11,239.06854737645165
2019-06-12,237.84776530457657
2019-06-13,237.9671111044409
2019-06-14,240.06903442077743
2019-06-17,241.1062412880463
2019-06-18,243.38252008890038
2019-06-19,242.18931311335353
2019-06-20,244.65837450712445
2019-06-21,246.28296760335246
2019-06-24,246.77858547828947
2019-06-25,246.22789135674617
2019-06-26,245.98925282911398
2019-06-27,244.56657288200847
2019-06-28,245.11728595847245
2019-07-01,245.97091161414392
2019-07-02,243.6670970097672
2019-07-03,244.78691131014511
2019-07-05,247.59554672241308
2019-07-08,247.71487480441226
2019-07-09,248.66026464990023
2019-07-10,249.293533928716
2019-07-11,251.3863238976199
2019-07-12,255.21380060227636
2019-07-15,258.37129562188164
2019-07-16,259.3442341752213
2019-07-17,259.39007184686835
2019-07-18,260.4456575411273
2019-07-19,261.2442174156084
2019-07-22,259.5461352435999
2019-07-23,260.1243911427147
2019-07-24,258.2703235151386
2019-07-25,259.52778613074844
2019-07-26,258.2427729063269
2019-07-29,259.3533640144357
2019-07-30,258.67415320519984
2019-07-31,257.52683049774635
2019-08-01,254.5254087241683
2019-08-02,253.19451574590136
2019-08-05,249.33032408323982
2019-08-06,246.00761339790597
2019-08-07,247.57716987229833
2019-08-08,252.03799545909965
2019-08-09,253.45152259825903
2019-08-12,252.94667468455543
2019-08-13,250.33074278467973
2019-08-14,252.9191442590477
2019-08-15,249.73418541718308
2019-08-16,253.0109854556174
2019-08-19,255.13120145668307
2019-08-20,255.01187932814656
2019-08-21,254.21333991839873
2019-08-22,255.6818941845122
2019-08-23,256.78332227713224
2019-08-26,254.5254131230738
2019-08-27,259.3442024740011
2019-08-28,271.04698681561956
2019-08-29,275.0746857296874
2019-08-30,275.5529768117447
2019-09-03,270.5579565801209
2019-09-04,271.8733909973929
2019-09-05,275.9485237449594
2019-09-06,276.65684621770953
2019-09-09,281.5323059849381
2019-09-10,274.9826477285641
2019-09-11,272.1493615738908
2019-09-12,268.50658671088485
2019-09-13,268.37779300328555
2019-09-16,268.71816288261857
2019-09-17,267.78905354101926
2019-09-18,268.83776718612205
2019-09-19,267.72465641900646
2019-09-20,267.0439338865137
2019-09-23,264.8454104758166
2019-09-24,267.5498537559226
2019-09-25,266.59318762734546
2019-09-26,267.669452585078
